indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2023,64631.2963909271,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2022,63913.3835079105,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2021,59332.2029100127,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2020,55488.4902991095,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2019,63215.899791913,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2018,63048.5985572834,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2017,63239.6577711911,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2016,64402.8092369468,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2015,62105.1542389675,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2014,59929.2444670501,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2013,57332.1585611366,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2012,58172.1323929474,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2011,60470.4662377044,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2010,58285.0577756981,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2009,57203.9708883731,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2008,60691.6051530637,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2007,65534.1168555171,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2006,66390.293726491,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2005,65114.8053663021,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2004,64353.4858113531,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2003,63656.1958332184,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2002,61188.6370851474,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2001,59109.0136806378,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2000,54809.1441679423,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2023,27104.9799978169,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2022,27627.9634764636,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2021,26300.274261175,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2020,23877.0931404855,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2019,26629.5529419501,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2018,27367.115094108,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2017,28334.904184742,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2016,27802.1057201498,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2015,28669.2061336796,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2014,28200.8152571318,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2013,29227.6601818437,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2012,28825.9666865361,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2011,29425.7593876084,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2010,28056.2570212342,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2009,25747.1976809995,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2008,27658.4853446831,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2007,26850.6645932771,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2006,24877.2493922296,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2005,23262.4075792816,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2004,21591.449396517,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2003,20005.1385113465,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2002,18571.7020471274,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2001,21066.4581290433,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2000,22281.3814299958,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2023,19230.1899296884,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2022,17886.1783877168,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2021,15921.705281964,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2020,15052.9359791136,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2019,16215.3607965094,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2018,15037.0452420712,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2017,14243.8749003795,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2016,13192.9940731731,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2015,13112.7600902915,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2014,12667.3757330249,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2013,12194.0189523843,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2012,11796.2741177994,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2011,10990.177099035,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2010,10438.5641904169,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2009,10143.2350796867,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2008,11727.4821272949,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2007,10898.8483795634,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2006,9525.23146779778,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2005,8362.90084037119,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2004,7299.40001858866,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2003,6569.26023440631,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2002,5731.35346609213,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2001,5044.11647826468,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2000,4589.00825039977,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2023,60447.1608783424,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2022,59883.6470356073,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2021,58182.3369477501,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2020,57059.7436441324,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2019,57837.0606876407,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2018,57450.3810363952,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2017,56684.6473338143,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2016,56341.5181616503,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2015,55691.6988499962,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2014,55288.1153378005,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2013,54699.3516156156,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2012,54237.5919075866,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2011,53112.5328692855,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2010,52589.8182081922,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2009,52254.3227326852,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2008,52351.5870495814,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2007,51562.094012556,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2006,50602.3502510337,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2005,49914.5146351829,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2004,48980.8931754432,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2003,47500.8351163647,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2002,46609.7441798787,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2001,45338.6834259568,,,0
"GDP per capita, PPP (constant 2021 international $)",Australia,AUS,2000,45013.0099535152,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2023,8242.39798977242,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2022,7888.16389098304,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2021,7441.06913961254,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2020,7015.19792797056,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2019,6838.32611608243,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2018,6392.59334024091,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2017,6005.70718781048,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2016,5682.53553494306,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2015,5352.71133299566,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2014,5068.63965672741,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2013,4822.72621378266,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2012,4592.04840919812,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2011,4352.42643359325,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2010,4125.46390163202,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2009,3942.13631207203,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2008,3787.9382761855,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2007,3608.91543819399,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2006,3407.4273502159,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2005,3231.61370692891,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2004,3071.83778764611,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2003,2958.91503115633,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2002,2866.43454328715,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2001,2803.55471950946,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2000,2712.93512215725,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2023,9843.97014174079,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2022,9681.70742674425,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2021,9454.19814726348,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2020,9000.97564781423,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2019,9985.23048827288,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2018,9907.0625569677,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2017,9642.81396069058,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2016,9390.79064490474,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2015,9141.92841760819,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2014,8851.71163169903,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2013,8524.03213224208,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2012,8108.20518658277,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2011,7837.49318637041,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2010,7571.67809088388,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2009,7392.16259133447,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2008,7272.16624073984,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2007,6967.56987897155,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2006,6778.38492393241,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2005,6579.31228729913,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2004,6407.83811661308,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2003,6255.5155813074,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2002,6193.26347365023,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2001,6144.97829336289,,,0
"GDP per capita, PPP (constant 2021 international $)",Bolivia,BOL,2000,6146.02929250873,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2023,19018.2390697496,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2022,18554.0461842977,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2021,18075.7060063108,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2020,17327.5157262925,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2019,18018.6209165513,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2018,17917.7492137276,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2017,17724.4799591551,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2016,17620.9272447823,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2015,18357.0690632249,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2014,19183.172746126,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2013,19241.5059830671,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2012,18832.2195541702,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2011,18627.8104543865,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2010,18062.1581117688,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2009,16939.4407823485,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2008,17113.3679835935,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2007,16440.5837413089,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2006,15657.4795729144,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2005,15221.0138293364,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2004,14911.2609620174,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2003,14259.3664100397,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2002,14265.9048781372,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2001,14016.1313783123,,,0
"GDP per capita, PPP (constant 2021 international $)",Brazil,BRA,2000,14005.347188511,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2023,56714.1999131081,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2022,57681.4385853329,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2021,56575.0175664858,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2020,54032.5783238699,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2019,57519.6534956693,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2018,57273.573246258,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2017,56549.2192664333,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2016,55544.1672980214,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2015,55598.818909051,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2014,55661.3651246938,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2013,54651.1873758517,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2012,53974.5675251608,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2011,53621.2879642754,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2010,52499.8506560483,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2009,51494.9536821882,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2008,53651.8034598593,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2007,53701.9303365541,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2006,53136.4812073413,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2005,52298.192678437,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2004,51153.5918853671,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2003,50083.892303641,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2002,49639.6085775214,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2001,48719.795956871,,,0
"GDP per capita, PPP (constant 2021 international $)",Canada,CAN,2000,48345.3518124209,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2023,29464.8961488736,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2022,29559.6561552202,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2021,29107.3294950456,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2020,26259.8426100998,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2019,28230.661999104,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2018,28504.9065695833,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2017,27904.9823894821,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2016,27970.7444523462,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2015,27823.3271405007,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2014,27516.8705266845,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2013,27303.0867868966,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2012,26681.9594386373,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2011,25377.1708049646,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2010,24127.1342478616,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2009,23023.4724446477,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2008,23519.8856016889,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2007,22888.7162082252,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2006,21977.979056884,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2005,20927.5178289954,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2004,19970.5627347261,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2003,18910.9948496853,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2002,18248.0407377004,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2001,17877.9810359002,,,0
"GDP per capita, PPP (constant 2021 international $)",Chile,CHL,2000,17532.8036452455,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2023,22137.5998277466,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2022,21011.6171309077,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2021,20406.7296584605,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2020,18833.7847033116,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2019,18465.298945245,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2018,17490.1667301804,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2017,16461.069929896,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2016,15485.2130054608,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2015,14575.9347897624,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2014,13696.5174948492,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2013,12830.3699705085,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2012,11985.3171249131,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2011,11187.1660995211,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2010,10267.8056684447,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2009,9325.65077925533,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2008,8566.96485435217,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2007,7853.09639538115,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2006,6910.75785854773,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2005,6165.18344017524,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2004,5567.19061247801,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2003,5085.97783096768,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2002,4650.89682139111,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2001,4290.30208092921,,,0
"GDP per capita, PPP (constant 2021 international $)",China,CHN,2000,3989.06189555851,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2023,18357.6446425686,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2022,18451.9459195936,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2021,17383.0901728295,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2020,15861.4999291295,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2019,17336.7716030551,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2018,17104.1313545678,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2017,16986.0334182842,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2016,17003.244366485,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2015,16821.3801400631,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2014,16480.3631474161,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2013,15912.2471293239,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2012,15279.4790008058,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2011,14852.3699513061,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2010,14037.0642668639,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2009,13586.7518430982,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2008,13591.0609028567,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2007,13318.3033138168,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2006,12636.6246577724,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2005,11999.2549591305,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2004,11607.9384935105,,,0
"GDP per capita, PPP (constant 2021 international $)",Colombia,COL,2003,11183.2911819793,,,0
